Type,Model,Parameters,Accuracy,Precision,Fit Time,Predict Time
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 0.01}",0.6792596994651499,0.5357340601803178,2.61812686920166,0.004975795745849609
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 0.1}",0.6802784616690721,0.540313689946355,2.8558826446533203,0.005984306335449219
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 1}",0.6223788097461584,0.4425565542695207,3.3742716312408447,0.004998922348022461
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 100, 'model__learning_rate': 'optimal', 'model__eta0': 0.01}",0.5967399609474489,0.41946811648873783,4.657716274261475,0.004969120025634766
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 100, 'model__learning_rate': 'optimal', 'model__eta0': 0.1}",0.5969946514984295,0.42604908804462877,4.595456123352051,0.0060002803802490234
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 100, 'model__learning_rate': 'optimal', 'model__eta0': 1}",0.5990321759062739,0.43235774165388835,4.569955587387085,0.006000041961669922
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__eta0': 0.01}",0.6813821207233212,0.5646499861388998,8.073264360427856,0.005000591278076172
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__eta0': 0.1}",0.6817217081246286,0.5367471684618984,10.65693187713623,0.005964517593383789
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__eta0': 1}",0.6223788097461584,0.44534565651748304,12.759627103805542,0.005967140197753906
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 200, 'model__learning_rate': 'constant', 'model__eta0': 0.01}",0.6793445963154767,0.5606982798176533,2.5702102184295654,0.005000114440917969
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 200, 'model__learning_rate': 'constant', 'model__eta0': 0.1}",0.6840988199337804,0.5441363425046899,2.780073404312134,0.00500035285949707
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 200, 'model__learning_rate': 'constant', 'model__eta0': 1}",0.629510145173614,0.45613423092831773,3.366257905960083,0.004992246627807617
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 200, 'model__learning_rate': 'optimal', 'model__eta0': 0.01}",0.5930044995330673,0.41902798131910857,4.629992723464966,0.004987239837646484
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 200, 'model__learning_rate': 'optimal', 'model__eta0': 0.1}",0.5987774853552933,0.42590534436830896,4.481194734573364,0.005999565124511719
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 200, 'model__learning_rate': 'optimal', 'model__eta0': 1}",0.5950420239409118,0.42374968961409354,4.65822958946228,0.004970073699951172
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 200, 'model__learning_rate': 'adaptive', 'model__eta0': 0.01}",0.6805331522200526,0.5600393758432236,8.232995748519897,0.004999399185180664
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 200, 'model__learning_rate': 'adaptive', 'model__eta0': 0.1}",0.6822310892265897,0.5346706642252983,10.711445331573486,0.005999088287353516
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l1', 'model__max_iter': 200, 'model__learning_rate': 'adaptive', 'model__eta0': 1}",0.6225486034468122,0.4459299794863444,12.76748514175415,0.005999088287353516
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 0.01}",0.6804482553697258,0.5416397164389788,2.6615121364593506,0.005968570709228516
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'elasticnet', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 0.1}",0.6836743356821462,0.5408394711790556,2.7315940856933594,0.005974531173706055
